Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
840,5,2015-06-19,6440,908,1,1,0,0
905,5,2015-06-19,6276,890,1,1,0,0
4,4,2015-06-18,8880,1138,1,1,0,0
352,4,2015-06-18,6818,628,1,1,0,0
416,4,2015-06-18,11919,1442,1,1,0,0
458,4,2015-06-18,6809,631,1,1,0,0
511,4,2015-06-18,5530,760,1,1,0,0
574,4,2015-06-18,9320,652,1,1,0,0
576,4,2015-06-18,6844,941,1,1,0,0
723,4,2015-06-18,8361,598,1,1,0,0
840,4,2015-06-18,6748,939,1,1,0,0
905,4,2015-06-18,7319,1060,1,1,0,0
4,3,2015-06-17,9685,1254,1,1,0,0
352,3,2015-06-17,7295,615,1,1,0,0
416,3,2015-06-17,11663,1395,1,1,0,0
458,3,2015-06-17,7923,659,1,1,0,0
511,3,2015-06-17,5408,747,1,1,0,0
574,3,2015-06-17,10151,702,1,1,0,0
576,3,2015-06-17,7926,1011,1,1,0,0
723,3,2015-06-17,8208,600,1,1,0,0
840,3,2015-06-17,6239,952,1,1,0,0
905,3,2015-06-17,8398,1117,1,1,0,0
4,2,2015-06-16,10671,1352,1,1,0,0
352,2,2015-06-16,7208,618,1,1,0,0
416,2,2015-06-16,13518,1582,1,1,0,0
458,2,2015-06-16,8036,692,1,1,0,0
511,2,2015-06-16,5751,753,1,1,0,0
574,2,2015-06-16,10940,699,1,1,0,0
576,2,2015-06-16,8261,988,1,1,0,0
723,2,2015-06-16,9013,634,1,1,0,0
840,2,2015-06-16,7431,1039,1,1,0,0
905,2,2015-06-16,8487,1200,1,1,0,0
4,1,2015-06-15,12398,1473,1,1,0,0
352,1,2015-06-15,8323,704,1,1,0,0
416,1,2015-06-15,15484,1734,1,1,0,0
458,1,2015-06-15,11052,870,1,1,0,0
511,1,2015-06-15,6664,841,1,1,0,0
574,1,2015-06-15,14427,855,1,1,0,0
576,1,2015-06-15,10717,1286,1,1,0,0
723,1,2015-06-15,11797,816,1,1,0,0
840,1,2015-06-15,8091,1059,1,1,0,0
905,1,2015-06-15,9623,1279,1,1,0,0
4,7,2015-06-14,0,0,0,0,0,0
352,7,2015-06-14,0,0,0,0,0,0
416,7,2015-06-14,0,0,0,0,0,0
458,7,2015-06-14,0,0,0,0,0,0
511,7,2015-06-14,0,0,0,0,0,0
574,7,2015-06-14,0,0,0,0,0,0
576,7,2015-06-14,0,0,0,0,0,0
723,7,2015-06-14,0,0,0,0,0,0
840,7,2015-06-14,0,0,0,0,0,0
905,7,2015-06-14,0,0,0,0,0,0
4,6,2015-06-13,9779,1370,1,0,0,0
352,6,2015-06-13,6533,613,1,0,0,0
416,6,2015-06-13,9483,1155,1,0,0,0
458,6,2015-06-13,9950,871,1,0,0,0
511,6,2015-06-13,5563,751,1,0,0,0
574,6,2015-06-13,8984,676,1,0,0,0
576,6,2015-06-13,5539,835,1,0,0,0
723,6,2015-06-13,8958,689,1,0,0,0
840,6,2015-06-13,3607,533,1,0,0,0
905,6,2015-06-13,5513,810,1,0,0,0
4,5,2015-06-12,7889,1090,1,0,0,0
352,5,2015-06-12,6211,587,1,0,0,0
416,5,2015-06-12,8686,1170,1,0,0,0
458,5,2015-06-12,5877,582,1,0,0,0
511,5,2015-06-12,5186,781,1,0,0,0
574,5,2015-06-12,7683,608,1,0,0,0
576,5,2015-06-12,4746,734,1,0,0,0
723,5,2015-06-12,6248,491,1,0,0,0
840,5,2015-06-12,5922,995,1,0,0,0
905,5,2015-06-12,5470,902,1,0,0,0
4,4,2015-06-11,7407,1081,1,0,0,0
352,4,2015-06-11,5623,546,1,0,0,0
416,4,2015-06-11,10228,1350,1,0,0,0
458,4,2015-06-11,4956,512,1,0,0,0
511,4,2015-06-11,5484,751,1,0,0,0
574,4,2015-06-11,7112,553,1,0,0,0
576,4,2015-06-11,5020,793,1,0,0,0
723,4,2015-06-11,6072,533,1,0,0,0
840,4,2015-06-11,6412,1005,1,0,0,0
905,4,2015-06-11,5761,1050,1,0,0,0
4,3,2015-06-10,7445,1049,1,0,0,0
352,3,2015-06-10,4921,482,1,0,0,0
416,3,2015-06-10,9174,1246,1,0,0,0
458,3,2015-06-10,5679,556,1,0,0,0
511,3,2015-06-10,4785,684,1,0,0,0
574,3,2015-06-10,7942,593,1,0,0,0
576,3,2015-06-10,5593,791,1,0,0,0
723,3,2015-06-10,6457,515,1,0,0,0
840,3,2015-06-10,6328,1030,1,0,0,0
905,3,2015-06-10,6208,940,1,0,0,0
4,2,2015-06-09,8002,1110,1,0,0,0
352,2,2015-06-09,4933,489,1,0,0,0
416,2,2015-06-09,10151,1365,1,0,0,0
458,2,2015-06-09,6076,614,1,0,0,0
511,2,2015-06-09,4971,713,1,0,0,0
574,2,2015-06-09,7526,591,1,0,0,0
576,2,2015-06-09,5165,798,1,0,0,0
723,2,2015-06-09,6223,496,1,0,0,0
840,2,2015-06-09,6615,1012,1,0,0,0
905,2,2015-06-09,6221,1004,1,0,0,0
4,1,2015-06-08,9640,1268,1,0,0,0
352,1,2015-06-08,6289,618,1,0,0,0
416,1,2015-06-08,10381,1381,1,0,0,0
458,1,2015-06-08,6473,628,1,0,0,0
511,1,2015-06-08,5391,780,1,0,0,0
574,1,2015-06-08,9000,635,1,0,0,0
576,1,2015-06-08,5732,834,1,0,0,0
723,1,2015-06-08,6793,593,1,0,0,0
840,1,2015-06-08,7434,1097,1,0,0,0
905,1,2015-06-08,6801,1084,1,0,0,0
4,7,2015-06-07,0,0,0,0,0,0
352,7,2015-06-07,0,0,0,0,0,0
416,7,2015-06-07,0,0,0,0,0,0
458,7,2015-06-07,0,0,0,0,0,0
511,7,2015-06-07,0,0,0,0,0,0
574,7,2015-06-07,0,0,0,0,0,0
576,7,2015-06-07,0,0,0,0,0,0
723,7,2015-06-07,0,0,0,0,0,0
840,7,2015-06-07,0,0,0,0,0,0
905,7,2015-06-07,0,0,0,0,0,0
4,6,2015-06-06,8218,1219,1,0,0,0
352,6,2015-06-06,7332,663,1,0,0,0
416,6,2015-06-06,10712,1323,1,0,0,0
458,6,2015-06-06,9857,932,1,0,0,0
511,6,2015-06-06,5696,783,1,0,0,0
574,6,2015-06-06,8277,642,1,0,0,0
576,6,2015-06-06,5290,814,1,0,0,0
723,6,2015-06-06,7412,648,1,0,0,0
840,6,2015-06-06,3704,594,1,0,0,0
905,6,2015-06-06,5787,884,1,0,0,0
4,5,2015-06-05,10416,1404,1,1,0,0
352,5,2015-06-05,7060,654,1,1,0,0
416,5,2015-06-05,10795,1359,1,1,0,0
458,5,2015-06-05,10318,922,1,1,0,0
511,5,2015-06-05,6129,860,1,1,0,0
574,5,2015-06-05,12393,870,1,1,0,1
576,5,2015-06-05,7636,1050,1,1,0,0
723,5,2015-06-05,11143,791,1,1,0,0
840,5,2015-06-05,7517,1185,1,1,0,0
905,5,2015-06-05,8188,1290,1,1,0,0
4,4,2015-06-04,10200,1311,1,1,0,0
352,4,2015-06-04,7016,608,1,1,0,0
416,4,2015-06-04,12687,1568,1,1,0,0
458,4,2015-06-04,0,0,0,1,a,0
511,4,2015-06-04,5888,766,1,1,0,0
574,4,2015-06-04,0,0,0,1,a,1
